local_repo	remote_url	commit
Emacs-wgrep	https://github.com/mhayashi1120/Emacs-wgrep.git	49f09ab9b706d2312cab1199e1eeb1bcd3f27f6f
Highlight-Indentation-for-Emacs	https://github.com/antonj/Highlight-Indentation-for-Emacs.git	d88db4248882da2d4316e76ed673b4ac1fa99ce3
ag.el	https://github.com/Wilfred/ag.el.git	ed7e32064f92f1315cecbfc43f120bbc7508672c
amx	https://github.com/DarwinAwardWinner/amx.git	5b3aa1aae84f4a225cb8d26ab79a32f97693f023
anaphora	https://github.com/rolandwalker/anaphora.git	a755afa7db7f3fa515f8dd2c0518113be0b027f6
annalist.el	https://github.com/noctuid/annalist.el.git	e1ef5dad75fa502d761f70d9ddf1aeb1c423f41d
anzu	https://github.com/emacsorphanage/anzu.git	21cb5ab2295614372cb9f1a21429381e49a6255f
apheleia	https://github.com/radian-software/apheleia.git	fa5d35ea43efa753c4dff71bc2acf473fc351e80
auto-minor-mode	https://github.com/joewreschnig/auto-minor-mode.git	17cfa1b54800fdef2975c0c0531dad34846a5065
auto-yasnippet	https://github.com/abo-abo/auto-yasnippet.git	6a9e406d0d7f9dfd6dff7647f358cb05a0b1637e
avy	https://github.com/abo-abo/avy.git	933d1f36cca0f71e4acb5fac707e9ae26c536264
better-jumper	https://github.com/gilbertw1/better-jumper.git	b1bf7a3c8cb820d942a0305e0e6412ef369f819c
bind-key	https://github.com/emacs-straight/bind-key.git	6ff8788e347ce31b5c3c4647c2e22e7ee2c5ab7c
bongo	https://github.com/dbrock/bongo.git	9e9629090262bba6d0003dabe5a375e47a4477f1
browse-at-remote	https://github.com/rmuslimov/browse-at-remote.git	38e5ffd77493c17c821fd88f938dbf42705a5158
cape	https://github.com/minad/cape.git	9a93d13e223ca3fc469bce4b2932d9e74bdfae57
company-mode	https://github.com/company-mode/company-mode.git	4faf36bc250fa6edaf91d11dd4191afd68a3b629
compat	https://github.com/emacs-compat/compat.git	b5b48183689b536f72b1214106afeabc465da9d4
cond-let	https://github.com/tarsius/cond-let.git	7ec5ace3e6acc240179bf3cdeb6f9e6751530c38
consult	https://github.com/minad/consult.git	8ffa37d7cb577fab68ab580889412b9363235a05
consult-dir	https://github.com/karthink/consult-dir.git	1497b46d6f48da2d884296a1297e5ace1e050eb5
consult-flycheck	https://github.com/minad/consult-flycheck.git	16fa53d2cc31a2689dfb5d012575c81399f6669d
consult-lsp	https://github.com/gagbo/consult-lsp.git	d11102c9db33c4ca7817296a2edafc3e26a61117
consult-org-roam	https://github.com/jgru/consult-org-roam.git	781d9c1cfee8631bc125fa45bab92de320d3941e
consult-yasnippet	https://github.com/mohkale/consult-yasnippet.git	a3482dfbdcbe487ba5ff934a1bb6047066ff2194
corfu	https://github.com/minad/corfu.git	80b3e0264b840c98a131534c2cfd585659ad1372
counsel-projectile	https://github.com/ericdanan/counsel-projectile.git	40d1e1d4bb70acb00fddd6f4df9778bf2c52734b
dash.el	https://github.com/magnars/dash.el.git	d3a84021dbe48dba63b52ef7665651e0cf02e915
deft	https://github.com/jrblevin/deft.git	b369d7225d86551882568788a23c5497b232509c
diff-hl	https://github.com/dgutov/diff-hl.git	7d873b2f58908de1ea2f499da9bf993e088953d7
dired-open-with	https://github.com/FrostyX/dired-open-with.git	5f9fddecea3d467a6d7bdb6a1863505b92a81e0d
diredfl	https://github.com/purcell/diredfl.git	fe72d2e42ee18bf6228bba9d7086de4098f18a70
dirvish	https://github.com/latiagertrutis/dirvish.git	c2406fdcc8dccfb4f3d01f50927491eb3a156036
doom-modeline	https://github.com/seagle0128/doom-modeline.git	871f91fad58aefa9e549cbff1929e0dd328021c7
dumb-jump	https://github.com/jacktasia/dumb-jump.git	9ce4598e9c485821a6e639fa48854d8e05acd970
edit-indirect	https://github.com/Fanael/edit-indirect.git	82a28d8a85277cfe453af464603ea330eae41c05
el-get	https://github.com/dimitri/el-get.git	b966060fd99c2bdf1aae76be190f2e26473cb298
eldoc	https://github.com/emacs-straight/eldoc.git	3fc1a6b854691b69715ff8073278431ec41636c8
elisp-def	https://github.com/Wilfred/elisp-def.git	2451ed6594807448a24a63c51c917727713ed19d
elisp-demos	https://github.com/xuchunyang/elisp-demos.git	1a108d1c5011f9ced58be2ca98bea1fbd4130a2f
elisp-refs	https://github.com/Wilfred/elisp-refs.git	541a064c3ce27867872cf708354a65d83baf2a6d
elpy	https://github.com/jorgenschaefer/elpy.git	3f8d46e0447dd416dfa6f7e12b519cda21aa7e27
emacs-async	https://github.com/jwiegley/emacs-async.git	5faab28916603bb324d9faba057021ce028ca847
emacs-bash-completion	https://github.com/szermatt/emacs-bash-completion.git	e2ae243588db8e03f4d0485bb09b670abbc63eaf
emacs-buttercup	https://github.com/jorgenschaefer/emacs-buttercup.git	2b1537af18498532f7dd58cfee9ac34f7f8a9d4b
emacs-deferred	https://github.com/kiwanami/emacs-deferred.git	2239671d94b38d92e9b28d4e12fd79814cfb9c16
emacs-eat	https://codeberg.org/akib/emacs-eat.git	c8d54d649872bfe7b2b9f49ae5c2addbf12d3b99
emacs-hide-mode-line	https://github.com/hlissner/emacs-hide-mode-line.git	ddd154f1e04d666cd004bf8212ead8684429350d
emacs-ipython-notebook	https://github.com/millejoh/emacs-ipython-notebook.git	8fa836fcd1c22f45d36249b09590b32a890f2b9e
emacs-libvterm	https://github.com/akermu/emacs-libvterm.git	92add72b728e47852ea1e95dc9f08d01b33d4bf0
emacs-pug-mode	https://github.com/hlissner/emacs-pug-mode.git	73f8c2f95eba695f701df20c8436f49abadebdc1
emacs-py-autopep8	https://codeberg.org/ideasman42/emacs-py-autopep8.git	f07d487a6cd63a8c8a44ec8b5e93b762aca97566
emacs-request	https://github.com/tkf/emacs-request.git	c22e3c23a6dd90f64be536e176ea0ed6113a5ba6
emacs-shift-number	https://codeberg.org/ideasman42/emacs-shift-number.git	4dfa414a498fa279a17595fb83b3d6aba4f3e1d0
emacs-slim	https://github.com/slim-template/emacs-slim.git	0b1b3803290f749cb85084adc75013254b513d41
emacs-solaire-mode	https://github.com/hlissner/emacs-solaire-mode.git	1bd0134194e48c8fe4089e9d505517935b2b15e3
emacs-websocket	https://github.com/ahyatt/emacs-websocket.git	2195e1247ecb04c30321702aa5f5618a51c329c5
emacs-which-key	https://github.com/justbur/emacs-which-key.git	38d4308d1143b61e4004b6e7a940686784e51500
emacsmirror-mirror	https://github.com/emacs-straight/emacsmirror-mirror.git	eda595efd14b64368b223db954128a2fb79ce3cb
emacsql	https://github.com/magit/emacsql.git	2fe6d4562b32a170a750d5e80514fbb6b6694803
embark	https://github.com/oantolin/embark.git	ec5dd1475595277ef908567d0a18d32f1c40bc91
embrace.el	https://github.com/cute-jumper/embrace.el.git	c7e748603151d7d91c237fd2d9cdf56e9f3b1ea8
emmet-mode	https://github.com/smihica/emmet-mode.git	322d3bb112fced57d63b44863357f7a0b7eee1e3
epl	https://github.com/cask/epl.git	78ab7a85c08222cd15582a298a364774e3282ce6
eros	https://github.com/xiongtx/eros.git	66ee90baa3162fea028f5101ddcc370f7d1d4fcf
evil	https://github.com/emacs-evil/evil.git	729d9a58b387704011a115c9200614e32da3cefc
evil-anzu	https://github.com/emacsorphanage/evil-anzu.git	7309650425797420944075c9c1556c7c1ff960b3
evil-args	https://github.com/wcsmith/evil-args.git	a8151556f63c9d45d0c44c8a7ef9e5a542f3cdc7
evil-collection	https://github.com/emacs-evil/evil-collection.git	cf16b126feed89c06d86cde7a0276d71ac512857
evil-easymotion	https://github.com/PythonNut/evil-easymotion.git	f96c2ed38ddc07908db7c3c11bcd6285a3e8c2e9
evil-embrace.el	https://github.com/cute-jumper/evil-embrace.el.git	3081d37811b6a3dfaaf01d578c7ab7a746c6064d
evil-escape	https://github.com/hlissner/evil-escape.git	819f1ee1cf3f69a1ae920e6004f2c0baeebbe077
evil-exchange	https://github.com/Dewdrops/evil-exchange.git	5f0a2d41434c17c6fb02e4f744043775de1c63a2
evil-goggles	https://github.com/edkolev/evil-goggles.git	34ca276a85f615d2b45e714c9f8b5875bcb676f3
evil-indent-plus	https://github.com/TheBB/evil-indent-plus.git	f392696e4813f1d3a92c7eeed333248914ba6dae
evil-leader	https://github.com/cofi/evil-leader.git	39f7014bcf8b36463e0c7512c638bda4bac6c2cf
evil-lion	https://github.com/edkolev/evil-lion.git	5a0bca151466960e090d1803c4c5ded88875f90a
evil-markdown	https://github.com/Somelauw/evil-markdown.git	8e6cc68af83914b2fa9fd3a3b8472573dbcef477
evil-mc	https://github.com/gabesoft/evil-mc.git	7e363dd6b0a39751e13eb76f2e9b7b13c7054a43
evil-multiedit	https://github.com/hlissner/evil-multiedit.git	23b53bc8743fb82a8854ba907b1d277374c93a79
evil-nerd-commenter	https://github.com/redguardtoo/evil-nerd-commenter.git	db5ee61a6e75db074b7d20e9dcb68e0b94b4edc7
evil-numbers	https://github.com/juliapath/evil-numbers.git	616aff9e5cee012954756ed2715209fa90308cdf
evil-org-mode	https://github.com/doomelpa/evil-org-mode.git	06518c65ff4f7aea2ea51149d701549dcbccce5d
evil-quick-diff	https://github.com/rgrinberg/evil-quick-diff.git	69c883720b30a892c63bc89f49d4f0e8b8028908
evil-snipe	https://github.com/hlissner/evil-snipe.git	16317d7e54313490a0fe8642ed9a1a72498e7ad2
evil-surround	https://github.com/emacs-evil/evil-surround.git	da05c60b0621cf33161bb4335153f75ff5c29d91
evil-textobj-anyblock	https://github.com/willghatch/evil-textobj-anyblock.git	29280cd71a05429364cdceef2ff595ae8afade4d
evil-traces	https://github.com/mamapanda/evil-traces.git	82e8a7b4213aed140f6eb5f2cc33a09bb5587166
evil-vimish-fold	https://github.com/alexmurray/evil-vimish-fold.git	b6e0e6b91b8cd047e80debef1a536d9d49eef31a
evil-visualstar	https://github.com/bling/evil-visualstar.git	06c053d8f7381f91c53311b1234872ca96ced752
exato	https://github.com/ninrod/exato.git	aee7af7b7a0e7551478f453d1de7d5b9cb2e06c4
